Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Anton Stralman,TAM,28,,2,,7,,9,,6,,8,,38,,30,,0,,0,,N/A,,0,,3,,0,,0,,0,,55,,0.036
Damon Severson,NJD,27,,0,,9,,9,,-1,,16,,26,,18,,0,,0,,N/A,,0,,2,,0,,0,,0,,38,,0
Nick Holden,COL,29,,1,,8,,9,,4,,8,,84,,44,,0,,0,,N/A,,0,,0,,0,,0,,0,,31,,0.032
Alec Martinez,LOS,27,,4,,5,,9,,7,,12,,58,,55,,0,,0,,N/A,,1,,2,,0,,1,,2,,47,,0.085
John Moore,NJD,27,,2,,7,,9,,-2,,10,,43,,27,,0,,0,,N/A,,0,,2,,0,,0,,1,,41,,0.049
Justin Braun,SAN,26,,1,,8,,9,,5,,14,,34,,47,,0,,0,,N/A,,0,,1,,0,,0,,0,,38,,0.026
Mark Streit,PHI,16,,3,,6,,9,,-4,,4,,10,,27,,0,,0,,N/A,,1,,3,,0,,0,,0,,33,,0.091
Dmitry Orlov,WAS,26,,3,,6,,9,,3,,2,,28,,12,,0,,0,,N/A,,0,,1,,0,,0,,2,,29,,0.103
Marc Staal,NYR,29,,1,,8,,9,,4,,14,,27,,44,,0,,1,,0,,0,,0,,0,,0,,1,,24,,0.042
Mattias Ekholm,NAS,28,,3,,6,,9,,1,,18,,25,,27,,0,,0,,N/A,,1,,0,,0,,0,,0,,34,,0.088
Michael Stone,ARI,28,,2,,7,,9,,-4,,20,,42,,39,,0,,0,,N/A,,0,,3,,0,,0,,0,,58,,0.034
Tyler Myers,WPG,28,,2,,6,,8,,-5,,30,,29,,32,,0,,1,,0,,0,,1,,0,,0,,0,,51,,0.039
Karl Alzner,WAS,26,,2,,6,,8,,8,,8,,40,,60,,0,,0,,N/A,,0,,0,,0,,0,,0,,25,,0.08
Jack Johnson,COB,29,,3,,5,,8,,-10,,13,,35,,40,,0,,1,,0,,1,,2,,0,,0,,1,,54,,0.056
Nick Leddy,NYI,29,,0,,8,,8,,-1,,13,,38,,31,,0,,0,,N/A,,0,,5,,0,,0,,0,,35,,0
Marek Zidlicky,NYI,26,,1,,7,,8,,3,,12,,26,,30,,0,,0,,N/A,,0,,2,,0,,0,,0,,17,,0.059
Johnny Oduya,DAL,28,,2,,6,,8,,6,,10,,25,,59,,0,,0,,N/A,,0,,0,,0,,0,,0,,22,,0.091
Olli Maatta,PIT,21,,4,,4,,8,,9,,4,,14,,26,,0,,0,,N/A,,0,,0,,0,,0,,1,,21,,0.19
Dougie Hamilton,CGY,27,,3,,5,,8,,-4,,18,,30,,38,,0,,0,,N/A,,1,,1,,0,,0,,0,,59,,0.051
