"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"chiarbe9120142015","Ben.Chiarot","D","WPG",42,20142015,23,"0.600","0.600",2,6,8,0.17,0.51,0.68,-4,51.19,99,5.13,-3,16.69,2,3.94,54.76,50.82,24,138,114,11.81,9.76,21.57,-0.27,51.21,51.49,15,317,302,27.13,25.85,52.98,25,-0.71,51.9,30,645,615,55.2,52.64,107.84,53.02,36,54,93,1.68,52.03,50.35,38,487,449,41.68,38.43,80.11,70.23,18,57,1.25,51.27,50.03,17,29.27,27.82,342,325,39,47.15,27.62,-4.28,52.36,2.14,2.31,25,27,-2,48.08,3.51,7.31,5.13,91.69,93.99,40,0,0,46.7,212,248,242,77,96,4,2,37,25,8,7,3,-0.34,701.03,1866.08,27.31,17.47,17.38,52.01,49.78,56.21,51.87,54.65,55.14
"chiasal9020142015","Alex.Chiasson","R","OTT",80,20142015,23,"0.900","0.867",11,15,26,0.63,0.85,1.48,-17,54.93,99.7,10.09,13.29,13.19,77,6.2,55.07,48.86,37,201,164,11.43,9.32,20.75,6.78,56.55,49.77,116,501,385,28.48,21.89,50.37,125,5.2,49.73,188,1047,859,59.52,48.83,108.35,52.34,34,21,179,5.48,53.74,48.25,106,762,656,43.32,37.29,80.61,71.92,36,145,4.17,52.19,48.02,46,31.15,28.54,548,502,109,41.56,23.48,-1.5,52.72,2.39,2.27,42,40,2,51.22,7.59,7.66,5.51,92.03,93.9,26.83,3,18,60.8,428,359,276,105,139,9,6,98,10,22,24,7,-0.97,1055.48,3840.94,21.56,17.82,17.17,51,49.68,57.36,55.12,53.58,54.28
"chimeja7920142015","Jason.Chimera","L","WSH",91,20142015,35,"2.000","2.000",10,16,26,0.5,0.8,1.3,-6,43.51,100.74,7.63,-7.97,13.22,53,-7.39,43.11,50.5,-63,197,260,9.82,12.96,22.79,-9.61,43.02,52.63,-146,450,596,22.44,29.72,52.16,119,-8.95,52.46,-287,962,1249,47.97,62.28,110.25,50.21,51,22,228,-10.02,42.9,52.93,-227,686,913,34.21,45.53,79.73,70.41,46,177,-9.62,42.82,52.44,-162,24.08,32.16,483,645,131,48.36,29.35,-8.79,54.03,1.89,2.29,38,46,-8,45.24,5.65,7.87,5.54,92.87,94.96,50.47,46,41,44.98,327,373,400,165,118,12,4,121,17,27,17,11,-0.3,1203.29,4359.82,21.63,17.47,17.05,49.51,49.86,53.43,54.48,54.37,54.67
"chipcky8620142015","Kyle.Chipchura","C","ARI",70,20142015,28,"0.875","0.875",4,10,14,0.26,0.64,0.89,-2,46.73,95.59,4.94,-20.21,13.44,38,2.17,45.45,43.29,-34,170,204,10.84,13.01,23.86,-0.65,45.01,45.66,-87,392,479,25.01,30.56,55.56,77,-1.02,47.75,-118,842,960,53.71,61.24,114.95,50.95,28,29,128,-1.53,45.76,47.29,-112,605,717,38.59,45.74,84.33,70.91,19,100,-0.96,45.98,46.94,-75,27.37,32.15,429,504,81,47.5,29.71,-10.44,38.51,1.02,2.62,16,41,-25,28.07,4,3.73,2.64,91.87,94.28,51.39,473,443,31.48,198,355,431,130,138,4,6,77,22,41,12,10,-0.13,940.57,3313.66,22.11,17.25,17.29,49.02,50.01,53.63,55.77,54.29,54.28
"chornta8720142015","Taylor.Chorney","D","PIT",12,20142015,27,"0.550","0.550",0,0,0,0,0,0,1,54.68,102.1,0,19.77,13.8,1,4.29,56.14,51.85,7,32,25,11.6,9.06,20.66,6.2,57.63,51.43,18,68,50,24.64,18.12,42.76,8,3.8,50.88,26,152,126,55.08,45.66,100.74,54.61,4,8,21,9.12,57.75,48.63,33,123,90,44.57,32.62,77.19,67.48,10,17,6.46,55.7,49.24,17,30.08,23.92,83,66,7,47.62,26.67,36.11,38.89,1.09,0.36,3,1,2,75,0,3.61,2.44,98.48,98.89,40,0,0,68.22,73,59,34,8,16,0,0,7,4,0,1,2,0.36,165.57,575.5,22.34,16.8,16.9,52.65,48.52,55.94,50.31,53.47,56.73
"cizikca9120142015","Casey.Cizikas","C","NYI",77,20142015,23,"0.800","1.000",10,9,19,0.61,0.55,1.16,5,45.98,97.93,9.9,-16.76,12.81,67,-12.82,46.11,58.93,-30,178,208,10.83,12.66,23.49,-8.98,46.63,55.61,-58,401,459,24.4,27.93,52.33,120,-8.85,54.83,-136,777,913,47.28,55.55,102.83,53.15,46,56,185,-8.29,47.58,55.87,-59,581,640,35.35,38.94,74.29,71.08,38,139,-7.86,47.8,55.66,-38,25.13,27.44,413,451,101,50.6,29.53,-12.74,54.17,1.76,2.49,29,41,-12,41.43,7.19,7.02,4.99,90.91,93.59,51.45,489,457,40,246,356,369,160,126,4,5,91,23,48,12,17,0.3,986.12,3716.92,20.97,17.09,16.83,51.36,49.38,56.14,53.16,52.86,54.19
"clarkda8420142015","David.Clarkson","R","CBJ/TOR",61,20142015,30,"4.750","5.250",10,5,15,0.71,0.36,1.07,-16,50.56,97.94,10.53,5.45,13.85,63,6.28,51.92,45.64,14,189,175,13.43,12.43,25.86,6.38,51.22,44.84,20,419,399,29.77,28.35,58.11,121,4.45,46.11,17,768,751,54.56,53.35,107.91,51.69,26,19,169,5.1,51.01,45.91,23,579,556,41.13,39.5,80.63,68.57,48,143,4.9,51.42,46.53,22,28.2,26.64,397,375,95,50.07,32.55,-1.01,46.59,2.2,2.63,31,37,-6,45.59,6.99,7.81,5.35,90.13,93.35,35.48,25,48,50.42,299,291,294,133,153,1,4,85,12,11,23,7,-1.14,844.59,2851.79,22.85,17.53,17.22,45.69,50.29,51.36,61.03,53.81,53.19
"clarkma9020142015","Mathew.Clark","D","ANA",7,20142015,23,"0.550","0.550",0,1,1,0,0.68,0.68,-1,44.13,105.59,0,8.76,12.66,0,7.7,55.56,47.86,3,15,12,10.15,8.12,18.27,0.98,50.67,49.69,1,38,37,25.72,25.04,50.76,1,-3.82,47.96,-21,79,100,53.47,67.68,121.15,51.9,4,5,7,-2.21,45.26,47.46,-13,62,75,41.96,50.76,92.72,66.13,1,3,-0.56,46.07,46.63,-7,27.75,32.49,41,48,2,52,36,22.92,43.75,2.71,1.35,4,2,2,66.67,0,9.76,6.45,95.83,97.33,40,0,0,50.82,31,25,30,10,10,1,0,2,2,1,3,2,-0.68,88.65,340.31,20.67,16.42,16.78,50.01,49.74,55.04,55.01,54.1,54.65
"clearda7820142015","Daniel.Cleary","RL","DET",17,20142015,35,"1.500","1.500",1,1,2,0.38,0.38,0.77,-2,50.97,94.55,5.88,9.81,9.23,3,-11.31,43.18,54.49,-6,19,25,7.27,9.56,16.83,-3.42,46.96,50.38,-7,54,61,20.66,23.34,44,12,0.44,50.54,5,131,126,50.12,48.2,98.32,48.85,6,9,28,0.41,50.79,50.37,3,97,94,37.11,35.96,73.07,65.98,5,22,-1.66,47.76,49.43,-6,24.48,26.78,64,70,17,44.44,25.53,-31.34,56.34,0.77,2.3,2,6,-4,25,4.55,3.12,2.06,91.43,93.62,41.67,2,2,59.81,64,54,43,21,26,0,1,16,1,2,2,0,-0.77,156.83,888.34,15.01,16.36,16.97,51.07,49.51,50.51,48.38,53.65,54.72
"clendad9220142015","Adam.Clendening","D","CHI/VAN",21,20142015,21,"0.818","0.743",1,3,4,0.17,0.52,0.69,-4,54.36,101.56,5.88,14.28,16.51,2,8.72,51.2,42.49,4,85,81,14.71,14.02,28.73,7.18,52.15,44.97,14,170,156,29.42,27,56.42,12,7.2,47.16,55,343,288,59.36,49.84,109.2,56.85,19,22,49,8.1,55.09,47,49,265,216,45.86,37.38,83.24,73.58,13,30,7.72,54.78,47.05,34,33.75,27.86,195,161,17,44.1,25.46,8.82,50,3.46,2.42,20,14,6,58.82,3.33,10.26,7.55,91.3,93.52,40,0,0,58.77,124,93,87,9,37,1,2,16,14,2,5,1,-0.69,346.71,927.77,27.2,15.83,16.98,50.35,49.54,54.19,53.44,53.78,54.77
"clichma8720142015","Marc-Andre.Cliche","CR","COL",74,20142015,27,"0.650","0.700",2,5,7,0.15,0.38,0.53,1,31.36,100.12,2.94,-15.61,10.72,13,-18.93,26.32,45.25,-135,75,210,5.68,15.89,21.57,-18.54,28.64,47.17,-288,193,481,14.6,36.4,51,39,-14.88,46.25,-511,430,941,32.54,71.2,103.74,62.79,23,28,101,-13.66,33.01,46.67,-355,345,700,26.11,52.97,79.07,78.26,10,78,-12.77,34.97,47.74,-232,20.43,37.99,270,502,68,46.65,28.29,-16.4,51.82,1.29,2.35,17,31,-14,35.42,2.56,6.3,4.93,93.82,95.57,50.99,377,358,33.56,196,237,388,27,36,4,1,66,16,31,6,7,0.08,792.94,3727.43,17.54,16.23,16.48,43.31,49.53,46.32,60.63,52.99,54
"cliffky9120142015","Kyle.Clifford","L","L.A",80,20142015,23,"1.200","1.150",6,9,15,0.42,0.63,1.05,-9,54.05,99.77,5.13,1.97,10.69,62,2.16,53.82,51.65,22,155,133,10.88,9.34,20.21,-2.24,50.29,52.53,4,347,343,24.36,24.08,48.43,105,0.23,53.82,117,780,663,54.75,46.54,101.28,53.59,39,14,192,-0.19,53.2,53.4,69,573,504,40.22,35.38,75.59,72.95,36,153,1.37,54.22,52.84,65,29.34,24.78,418,353,117,46.76,29.96,0.89,52.56,2.18,1.9,31,27,4,53.45,3.92,7.42,5.41,92.35,94.64,38.46,2,4,55.14,252,233,205,200,155,6,3,111,20,17,14,5,-0.63,854.83,4003.66,17.59,17.09,16.75,53.01,49.46,56.67,50.25,53.58,54.74
"clitsgr8520142015","Grant.Clitsome","D","WPG",24,20142015,29,"2.300","2.067",0,4,4,0,0.6,0.6,-3,52.71,101.92,0,3.29,16.61,1,6.34,56.34,50,18,80,62,12.04,9.33,21.38,4.4,55.29,50.89,35,183,148,27.55,22.28,49.83,12,1.75,50.96,38,370,332,55.7,49.98,105.67,47.03,27,20,56,0.12,51.02,50.9,10,251,241,37.78,36.28,74.06,69.32,7,29,1.69,52.25,50.56,15,26.19,23.93,174,159,22,52.11,34.02,5.3,55.81,1.66,1.05,11,7,4,61.11,0,6.32,4.38,95.6,97.1,40,0,0,50.66,116,115,113,46,33,3,1,22,23,5,4,1,-0.45,398.59,1070.93,27.12,16.71,16.97,50.91,49.29,55.37,53.39,53.05,54.59
"clowery8220142015","Ryane.Clowe","L","N.J",13,20142015,31,"4.850","4.850",1,3,4,0.3,0.89,1.18,-1,53.35,102.83,6.67,14.86,15.63,7,-8.46,41.54,50,-11,27,38,7.97,11.22,19.19,-1.88,46,47.88,-12,69,81,20.37,23.92,44.29,12,5.87,47.49,22,175,153,51.67,45.18,96.85,54.86,8,1,26,2.6,49.81,47.21,-1,131,132,38.68,38.97,77.65,73.28,3,18,0.36,47.29,46.93,-11,28.35,31.59,96,107,15,30.07,18.94,12.18,44.07,2.66,2.07,9,7,2,56.25,5.56,9.38,6.87,93.46,94.7,38.1,0,1,60.18,68,55,45,21,14,2,1,14,3,3,2,1,-0.3,203.21,590.73,25.59,17.63,17.19,52.4,50.52,49.42,44.9,55.54,54.39
"cluneri8720142015","Rich.Clune","L","NSH",1,20142015,27,"0.850","0.850",0,0,0,0,0,0,0,14.29,100,NA,-52.27,5.59,0,NA,NA,63.16,0,0,0,0,0,0,NA,NA,64.58,0,0,0,0,0,0,0,-47.96,62.24,-5,1,6,10.73,64.38,75.11,100,0,0,0,-49.57,16.67,66.23,-4,1,5,10.73,53.65,64.38,100,0,0,-42.92,25,67.92,-2,10.73,32.19,1,3,0,50,40,NA,60,0,0,0,0,0,NA,NA,0,0,100,100,40,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,5.59,54.38,9.32,16.78,16.56,48.51,51.91,48.56,51.54,59.82,55.43
"cluttca8720142015","Cal.Clutterbuck","R","NYI",83,20142015,26,"2.500","2.750",9,10,19,0.5,0.55,1.05,0,47.1,97.76,6.62,-21.35,13.08,49,-10.64,46.81,57.45,-27,198,225,10.95,12.44,23.38,-5.95,48.61,54.56,-27,472,499,26.09,27.58,53.67,137,-6.78,53.88,-110,893,1003,49.36,55.44,104.81,54.65,47,35,242,-6.14,48.92,55.06,-30,678,708,37.48,39.14,76.62,71.98,59,195,-4.71,49.95,54.66,-1,26.98,27.03,488,489,136,51.25,30.93,-11.48,53.94,1.71,2.32,31,42,-11,42.47,4.62,6.35,4.57,91.41,94.07,46.67,6,4,36.41,264,405,461,383,134,9,1,127,25,26,17,17,0,1085.42,3982.85,21.42,17.23,17.03,51.72,49.84,56.87,53.1,53.73,54.09
"coburbr8520142015","Braydon.Coburn","D","PHI/T.B",69,20142015,29,"4.500","4.500",2,13,15,0.09,0.6,0.7,-9,42.14,97.35,2.35,-23.39,18.7,7,-16.11,40.47,56.58,-82,174,256,8.09,11.91,20,-13.69,41.62,55.31,-178,442,620,20.56,28.83,49.39,42,-11.93,54.07,-357,957,1314,44.51,61.11,105.62,56.95,60,98,181,-11.08,42.68,53.76,-247,720,967,33.48,44.97,78.46,75.69,36,121,-10.16,43.63,53.79,-159,25.35,32.74,545,704,85,46.42,27.2,-19.44,55.56,1.81,3.21,39,69,-30,36.11,1.65,7.16,5.42,90.2,92.86,40,0,0,34.86,305,488,570,114,116,5,8,83,40,13,17,8,-0.42,1290.14,2908.12,30.73,16.65,17.66,49.21,49.98,52.32,54,54.66,54.7
"coglian8720142015","Andrew.Cogliano","C","ANA",98,20142015,27,"2.700","3.000",18,20,38,0.75,0.83,1.59,11,49.33,99.9,9.94,-0.5,14.67,78,-3.61,49.58,53.18,-4,234,238,9.76,9.93,19.69,-2.74,50.04,52.78,1,581,580,24.24,24.2,48.44,162,-2.34,51.67,-35,1291,1326,53.87,55.33,109.2,53.45,65,40,317,-1.67,50.69,52.36,27,990,963,41.31,40.18,81.49,69.7,71,252,-1.12,50.74,51.85,20,28.79,27.96,690,670,181,49.47,30.43,-1.99,52.42,2.42,2.38,58,57,1,50.43,7.14,8.41,5.86,91.49,94.08,35.56,24,46,49.53,424,540,432,187,91,14,6,163,39,34,9,20,0.46,1437.95,4607.07,23.79,17.45,17.41,50.32,50.15,54.93,54.22,54.99,54.67
"colaica8320142015","Carlo.Colaiacovo","D","PHI",33,20142015,31,"0.625","0.625",2,6,8,0.22,0.66,0.87,-4,56.67,99.43,4.76,7.61,16.65,11,11.43,54.7,43.27,17,99,82,10.81,8.96,19.77,12,58.03,46.03,75,271,196,29.6,21.41,51.01,42,11.02,45.65,132,561,429,61.28,46.86,108.14,51.69,36,33,108,10.84,55.8,44.96,83,399,316,43.58,34.52,78.1,72.68,30,72,10.91,55.77,44.86,60,31.68,25.12,290,230,42,46.39,27.22,5.48,47.86,1.75,1.53,16,14,2,53.33,2.78,5.52,4.01,93.91,95.57,40,0,0,56.56,194,164,149,46,41,4,2,40,18,10,5,1,-0.44,549.29,1464.48,27.28,16.14,16.8,48.85,49.28,52.95,55.43,52.98,54.52
"colbojo9020142015","Joe.Colborne","C","CGY",75,20142015,24,"1.275","1.275",9,22,31,0.46,1.13,1.59,-11,45.7,101.54,12.16,4.5,15.56,58,0.2,48.11,47.91,-15,191,206,9.82,10.59,20.41,-1.53,45.63,47.17,-85,444,529,22.82,27.19,50.02,105,-0.59,46.29,-179,951,1130,48.88,58.09,106.97,48.26,36,41,144,-1.72,45.75,47.47,-121,652,773,33.51,39.73,73.25,70.4,34,108,-2.79,45.54,48.32,-90,23.59,28.22,459,549,74,51.42,28.98,-1.45,51.45,2.21,2.21,43,43,0,50,8.33,9.37,6.6,92.17,94.44,51.06,185,173,50.82,374,337,362,189,101,13,9,65,41,30,22,11,-0.57,1167.24,3386.78,25.63,18.02,17.18,45.58,50.31,50.45,60.24,54.56,53.88
"colexer7820142015","Erik.Cole","LR","DAL/DET",68,20142015,35,"4.000","4.500",21,18,39,1.29,1.11,2.4,12,53.74,101.16,17.21,11.5,14.32,80,3.62,54.15,50.52,34,222,188,13.67,11.58,25.26,2.28,53.17,50.89,59,495,436,30.49,26.86,57.35,144,3.83,49.91,136,977,841,60.18,51.8,111.99,51.07,51,20,213,4.03,53.8,49.77,103,729,626,44.9,38.56,83.47,68.45,40,162,2.8,51.76,48.96,34,30.74,28.64,499,465,122,44.71,25.72,9.46,45.18,3.26,2.71,53,44,9,54.64,12.96,10.62,7.27,90.54,92.97,36.11,5,11,60.83,379,338,244,134,85,14,4,101,28,24,6,18,0.74,974.06,3133.35,23.71,17.83,17.47,51.47,50.06,58.12,54.8,53.98,53.86
"colexia8920142015","Ian.Cole","D","PIT/STL",79,20142015,25,"0.900","0.825",5,14,19,0.23,0.66,0.89,-2,54.2,100.79,5.43,-1.89,16.22,5,2.75,54.87,52.12,44,248,204,11.61,9.55,21.16,2.22,54.26,52.04,93,592,499,27.71,23.36,51.07,32,2.72,51.48,192,1239,1047,58,49.01,107.01,55.61,65,112,202,2.27,54.65,52.38,159,934,775,43.72,36.28,80,73.77,45,137,3.58,55.3,51.71,132,32.25,26.07,689,557,92,46.8,28.13,10.61,47.52,2.34,1.69,50,36,14,58.14,3.65,7.26,5.35,93.54,95.35,40,0,0,49.94,395,400,396,78,156,4,10,87,28,14,18,16,-0.09,1281.76,3541.29,26.58,16.46,17.05,51.76,49.33,54.7,50.97,53.55,55
"collise8820142015","Sean.B..Collins","L","CBJ",8,20142015,25,"0.620","0.620",0,2,2,0,1.38,1.38,0,45.31,104.86,0,3.41,10.85,1,-10.82,31.25,42.07,-6,5,11,3.45,7.6,11.06,1.85,44.83,42.98,-6,26,32,17.97,22.11,40.08,5,0.28,45.04,-12,58,70,40.08,48.37,88.45,43.1,2,0,7,-1.48,43.56,45.05,-13,44,57,30.4,39.39,69.79,56.82,1,5,-7.16,37.31,44.47,-17,17.27,29.02,25,42,4,40,26.32,12.22,37.78,2.07,2.07,3,3,0,50,0,12,6.82,92.86,94.74,40,2,3,50.94,27,26,26,18,9,0,2,4,0,0,1,1,0,86.83,392.37,18.12,16.91,16.88,46.84,48.63,48.59,55.14,53.21,56.2
"comeabl8620142015","Blake.Comeau","RL","PIT",66,20142015,28,"0.700","0.700",17,15,32,1,0.89,1.89,-13,54.95,100.18,11.18,6.55,15.4,63,3.58,53.08,49.5,24,207,183,12.22,10.81,23.03,3.23,53.52,50.29,64,487,423,28.76,24.98,53.74,145,5.11,49.84,189,1049,860,61.94,50.78,112.73,52.62,84,13,283,3.54,53.85,50.31,109,762,653,45,38.56,83.56,72.44,47,199,1.91,52.57,50.66,54,32.6,29.41,552,498,152,42.09,23.74,0.22,52.94,2.48,2.18,42,37,5,53.16,8.54,7.61,5.51,92.57,94.33,50,8,4,56.89,347,342,263,203,91,10,5,135,20,17,23,10,-0.77,1016.09,3012.41,25.22,18.31,17.52,52.44,49.87,56.31,51.07,54.41,54.69
"conacco8920142015","Cory.Conacher","LR","NYI",15,20142015,24,"0.600","0.600",1,2,3,0.31,0.61,0.92,3,50.67,95.79,4.35,15.59,13.11,10,-3.19,52.44,55.63,4,43,39,13.12,11.9,25.02,-3.67,49.53,53.2,-2,106,108,32.34,32.95,65.29,20,-1.5,52.17,5,188,183,57.36,55.83,113.19,55.85,3,7,32,0.08,53.33,53.25,18,144,126,43.93,38.44,82.37,72.92,6,29,0.23,53.03,52.8,12,32.03,28.37,105,93,23,49.18,26.19,-10.53,52.63,2.44,3.36,8,11,-3,42.11,3.45,7.62,5.56,88.17,91.27,39.13,1,2,67.77,82,60,39,19,23,0,2,22,3,6,1,4,0.92,196.67,709.72,21.7,18.57,17.26,50.94,49.41,57.63,55.49,54.94,56.24
"condrer8620142015","Erik.Condra","RL","OTT",74,20142015,28,"1.300","1.250",10,14,24,0.55,0.77,1.32,11,45.83,100.66,8.33,-26.35,14.7,63,-0.57,51.84,52.42,14,197,183,10.87,10.09,20.96,-5.49,48,53.48,-37,443,480,24.43,26.47,50.91,120,-7.3,53.13,-169,929,1098,51.24,60.56,111.8,53.82,59,54,221,-7.03,44.86,51.89,-153,668,821,36.84,45.28,82.12,74.85,42,162,-5.1,45.83,50.92,-91,27.58,32.6,500,591,120,46.17,28.01,-7.16,55.26,2.1,2.26,38,41,-3,48.1,6.17,7.6,5.69,93.06,95.01,36.67,3,7,30.57,221,362,502,34,145,9,5,110,21,39,10,21,0.61,1087.88,3441.74,24.02,17.4,17.11,50.67,49.38,55.92,54.45,53.61,54.96
"connake9020142015","Kevin.Connauton","D","CBJ/DAL",62,20142015,24,"0.650","0.683",9,12,21,0.53,0.7,1.23,-9,51.94,102.33,9.38,16.67,16.48,8,5.27,52.15,46.88,18,218,200,12.8,11.74,24.55,6.63,51.11,44.48,22,507,485,29.77,28.48,58.25,54,8.2,43.74,75,1003,928,58.9,54.5,113.4,55.03,65,48,199,6.64,50.54,43.9,16,742,726,43.57,42.63,86.21,74.39,38,134,7.97,51.21,43.24,26,32.42,30.89,552,526,96,43.32,27.55,8.75,48.68,3.41,2.53,58,43,15,57.43,6.72,10.51,7.82,91.83,94.08,40,0,0,58.61,371,296,262,83,83,7,5,87,33,11,15,6,-0.53,1021.72,2775.86,26.9,16.41,17.09,48.33,50.07,51.77,55.34,54.12,53.96
"connech8320142015","Chris.Conner","L","WSH",2,20142015,30,"0.550","0.550",0,0,0,0,0,0,-2,61.54,109.09,0,25,9.34,1,18.84,66.67,47.83,1,2,1,6.43,3.21,9.64,3.45,55.56,52.1,2,10,8,32.13,25.7,57.83,4,10,51.54,9,24,15,77.11,48.19,125.3,45.83,2,0,7,9.66,62.07,52.41,7,18,11,57.83,35.34,93.17,61.11,2,5,12.29,64.71,52.42,5,35.34,19.28,11,6,3,60,45.45,42.86,57.14,3.21,0,1,0,1,100,0,9.09,5.56,100,100,40,0,0,75,9,2,3,0,2,0,0,3,0,1,2,0,-6.43,18.68,106.14,14.96,17.04,17.02,50.29,42.98,55.12,54.49,45.72,60.66
"connobr9220142015","Brett.Connolly","R","BOS/T.B",55,20142015,22,"0.851","0.851",12,5,17,1.08,0.45,1.53,-10,60.35,102.43,14.46,10.76,12.08,47,7.91,60.82,52.9,53,149,96,13.45,8.67,22.12,8.22,60.56,52.33,121,347,226,31.33,20.4,51.73,95,9.38,50.97,227,662,435,59.77,39.27,99.04,49.55,32,13,143,8.96,59.92,50.97,158,477,319,43.07,28.8,71.87,68.76,28,111,7.76,58.99,51.23,100,29.61,20.59,328,228,83,47.59,28.53,13.75,52.21,2.8,1.44,31,16,15,65.96,10.81,9.45,6.5,92.98,94.98,41.27,18,25,62.56,259,204,155,90,68,2,3,71,6,9,17,7,-0.9,664.56,2669,19.94,16.98,16.96,51.98,49.26,54.41,50.25,52.84,54.42
"cookema7820142015","Matt.Cooke","LR","MIN",36,20142015,36,"3.000","2.500",4,8,12,0.55,1.1,1.65,5,37.82,98.22,12.5,-30.23,12.1,19,-21.12,38.13,59.25,-33,53,86,7.3,11.84,19.14,-21.11,36.29,57.4,-108,143,251,19.69,34.57,54.26,42,-16.45,54.27,-190,295,485,40.63,66.79,107.42,52.2,21,23,63,-15.98,39.33,55.31,-121,223,344,30.71,47.37,78.08,69.06,10,42,-15.25,40.1,55.36,-76,21.21,31.67,154,230,32,52.58,33.14,-16.93,52.83,1.93,3.44,14,25,-11,35.9,9.52,9.09,6.28,89.13,92.73,37.93,3,6,28.75,94,154,233,54,44,5,3,28,9,13,5,10,0.69,435.69,1733.45,20.09,17.11,16.98,49.75,50.2,51.46,51.97,54.47,54.05
"coppxan9420142015","Andrew.Copp","C","WPG",1,20142015,20,"0.925","0.925",0,1,1,0,4.21,4.21,0,47.37,125,0,-15.05,14.24,1,6.67,40,33.33,-1,2,3,8.43,12.64,21.06,11.85,60,48.15,2,6,4,25.28,16.85,42.13,3,0.4,46.97,-1,9,10,37.92,42.13,80.05,88.89,0,0,4,13.07,56.25,43.18,2,9,7,37.92,29.49,67.41,88.89,0,4,26.67,66.67,40,4,33.7,16.85,8,4,4,60,42.86,25,75,8.43,0,2,0,2,100,0,25,22.22,100,100,48.28,6,3,33.33,2,3,4,0,0,1,0,4,0,0,0,0,0,14.24,45.74,23.74,15.58,13.64,50.42,46.57,52.87,51.98,49.32,56.59
"cormipa9020142015","Patrice.Cormier","LC","WPG",1,20142015,24,"0.625","0.625",0,0,0,0,0,0,0,57.14,100,NA,-60.61,4.38,0,-56,0,56,-1,0,1,0,13.71,13.71,-0.85,50,50.85,0,2,2,27.43,27.43,54.86,0,3.3,53.85,1,4,3,54.86,41.14,96,25,0,0,0,-0.65,50,50.65,0,2,2,27.43,27.43,54.86,50,0,0,-18.52,33.33,51.85,-1,13.71,27.43,1,2,0,33.33,0,NA,62.5,0,0,0,0,0,NA,NA,0,0,100,100,44,3,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,4.38,55.24,7.34,13.52,15.57,50.63,42.87,52.6,51.3,45.57,60.72
"corrafr9320142015","Frank.Corrado","D","VAN",10,20142015,21,"0.575","0.592",1,0,1,0.39,0,0.39,2,49.17,87.88,12.5,-7.72,15.51,2,-6.93,47.73,54.66,-2,21,23,8.12,8.9,17.02,-5.6,43.64,49.24,-14,48,62,18.57,23.99,42.56,3,-4.17,53.34,-4,119,123,46.04,47.58,93.62,55.46,3,12,16,-1.88,50.26,52.14,1,95,94,36.75,36.37,73.12,69.47,5,13,-1.8,50,51.8,0,25.53,25.53,66,66,8,46.34,29.79,-23.33,40,0.77,3.87,2,10,-8,16.67,7.69,3.03,2.11,84.85,89.36,40,0,0,45.92,45,54,53,15,17,0,0,7,5,1,0,2,0.77,155.09,442.98,25.93,16.15,17.37,49.73,50.15,54.13,54.72,54.85,54.51
"cousini9320142015","Nick.Cousins","C","PHI",11,20142015,21,"0.843","0.812",0,0,0,0,0,0,0,47.4,102.67,0,12.51,8.91,4,-3.8,44.12,47.92,-4,15,19,9.18,11.63,20.81,-1.19,49.28,50.47,-1,34,35,20.81,21.42,42.24,7,0.67,46.73,-9,82,91,50.2,55.7,105.9,54.88,2,5,9,2.39,49.24,46.85,-2,65,67,39.79,41.01,80.8,69.23,1,7,2.22,47.37,45.15,-5,27.55,30.61,45,50,6,45.05,25.37,11.85,48.15,1.84,1.22,3,2,1,60,0,6.67,4.62,96,97.01,43.06,23,29,56.52,26,30,20,13,11,0,0,6,2,5,1,1,0,98.02,573.33,14.6,16.2,16.49,48.04,49.8,50.98,55.14,54.26,54.7
