"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"staffdr8520122013","Drew.Stafford","RC","BUF",46,20122013,26,"4.000","4.000",6,12,18,0.46,0.92,1.39,-1,47.24,97.96,4.96,9.06,16.94,38,-0.72,42.95,43.67,-44,134,178,10.31,13.7,24.02,1.06,44.75,43.7,-76,324,400,24.94,30.79,55.73,104,2.6,44.65,-77,660,737,50.81,56.73,107.54,55,33,9,186,-0.18,44.98,45.16,-107,479,586,36.87,45.11,81.98,75.78,32,153,-1.01,45.15,46.16,-78,27.94,33.95,363,441,121,40.16,24.74,-8.9,48.33,2.16,3.31,28,43,-15,39.44,3.92,7.71,5.85,90.25,92.66,43.27,37,47,55.65,271,253,216,46,60,6,6,115,19,21,7,6,-0.08,779.45,2039.29,27.65,17.85,17.51,47.86,50.27,51.59,56.2,54.96,54.37
"stajama8320122013","Matt.Stajan","C","CGY",43,20122013,28,"2.500","3.500",5,18,23,0.4,1.44,1.84,2,44.09,100.86,11.36,-14.64,17.45,28,1.2,50.75,49.55,4,135,131,10.8,10.48,21.27,-5.32,45.02,50.34,-63,285,348,22.79,27.83,50.62,58,-5.22,49.32,-150,560,710,44.78,56.78,101.56,52.14,12,30,76,-5.36,43.94,49.3,-113,410,523,32.79,41.82,74.61,71.22,20,64,-4.59,44.24,48.83,-76,23.35,29.43,292,368,44,48.17,29.64,2.02,43.86,3.12,3.68,39,46,-7,45.88,7.81,13.36,9.51,87.5,91.2,46.08,356,414,35.68,208,276,375,47,52,11,7,39,17,24,13,15,0.16,750.33,1842.96,28.93,18.7,17.7,48.8,50.61,52.39,54.96,53.56,52.27
"stalbvi8620122013","Viktor.Stalberg","RL","CHI",66,20122013,26,"0.850","0.875",9,17,26,0.63,1.18,1.81,-2,59.49,104.19,6.43,23.49,13.05,59,4.5,54.74,50.25,26,150,124,10.45,8.64,19.08,5.65,57.25,51.59,100,395,295,27.51,20.54,48.05,147,8.04,51.45,269,843,574,58.71,39.97,98.68,51.36,51,24,246,7.56,59.85,52.28,204,620,416,43.18,28.97,72.15,69.84,55,195,3.9,57.35,53.45,111,30.15,22.42,433,322,140,43.9,22.6,12.36,58.33,2.86,1.18,41,17,24,70.69,4.62,9.47,6.61,94.72,95.91,38.1,0,1,72.83,319,255,119,66,80,14,3,131,14,27,10,8,-0.14,861.57,3220.84,21.1,17.84,16.72,53.68,49.58,54.94,47.41,52.3,53.17
"stamkst9020122013","Steven.Stamkos","CR","T.B",48,20122013,22,"8.000","7.500",29,28,57,1.65,1.6,3.25,1,54.66,100.19,18.47,21.85,21.93,84,8.74,55.99,47.25,49,229,180,13.05,10.26,23.31,13.13,55.88,42.75,117,556,439,31.69,25.02,56.72,190,12.34,42.32,175,1026,851,58.49,48.51,107,55.07,62,17,287,11.3,54.24,42.94,119,761,642,43.38,36.6,79.98,74.24,68,225,12.02,55.28,43.26,108,32.21,26.05,565,457,157,46.3,28.82,10.3,45.34,4.22,3.36,74,59,15,55.64,12.89,13.1,9.72,87.09,90.81,49.34,406,413,61.11,429,357,273,63,70,17,11,128,31,24,15,16,0.06,1052.56,1845.64,36.32,18.85,17.99,46.98,50,50.47,56.97,54.68,54.68
"stantry8920122013","Ryan.Stanton","D","CHI",1,20122013,23,"0.595","0.593",0,0,0,0,0,0,-1,59.46,111.11,0,-18.57,17.44,0,56.3,85.71,29.41,5,6,1,20.64,3.44,24.08,46.15,76.92,30.77,7,10,3,34.4,10.32,44.72,1,25.17,34.29,7,22,15,75.68,51.6,127.28,40.91,0,2,2,30.04,64,33.96,7,16,9,55.04,30.96,86,56.25,1,2,21.11,60,38.89,3,30.96,20.64,9,6,1,60,33.33,100,0,3.44,0,1,0,1,100,0,11.11,6.25,100,100,40,0,0,30,3,4,7,1,0,0,0,1,0,0,1,0,-3.44,17.44,42.54,29.08,14.02,16.98,50.86,51.38,50.94,49.22,51.82,49.04
"stastpa8520122013","Paul.Stastny","C","COL",40,20122013,26,"6.600","6.600",9,15,24,0.69,1.15,1.84,1,48.6,99.91,10.34,-8.21,19.55,50,2.69,48.54,45.85,-10,166,176,12.73,13.5,26.24,4.23,49.53,45.29,-7,367,374,28.15,28.69,56.85,90,2.81,45.8,-41,714,755,54.77,57.92,112.69,55.32,18,29,139,2.96,49.59,46.62,-9,541,550,41.5,42.19,83.7,73.01,34,121,3.28,50.25,46.97,4,30.3,30,395,391,87,48.21,28.91,7.06,42.94,2.53,2.53,33,33,0,50,7.44,8.35,6.1,91.56,94,52.06,409,372,43.45,272,257,354,21,30,5,10,78,15,23,7,8,0.08,782.12,1659.77,32.03,17.77,17.76,49.56,50.07,55.28,56.27,53.17,53.01
"staubbr8420122013","Brad.Staubitz","R","ANA",15,20122013,28,"0.625","0.637",1,1,2,0.62,0.62,1.24,-1,36.59,101.98,20,5.36,6.45,1,-10.99,42.11,53.09,-3,8,11,4.96,6.82,11.78,-19.85,31.88,51.73,-25,22,47,13.65,29.15,42.8,2,-11.81,48.39,-44,60,104,37.22,64.51,101.72,55,3,7,10,-9.28,39.29,48.56,-24,44,68,27.29,42.18,69.47,75,2,7,-9.07,40.24,49.32,-16,20.47,30.39,33,49,5,52.88,27.94,-6.34,56.34,1.24,1.24,2,2,0,50,14.29,6.06,4.55,95.92,97.06,40,0,0,52.63,30,25,27,31,19,1,0,4,3,0,2,1,-0.62,96.73,821.27,10.54,16.18,16.16,47.02,49.58,49.7,55.99,52.39,53.27
"steckda8220122013","David.Steckel","C","ANA/TOR",41,20122013,30,"1.100","1.100",2,7,9,0.3,1.06,1.36,2,43,97.71,6.67,-20.62,9.65,15,7.19,58.1,50.91,17,61,44,9.25,6.67,15.92,-3.05,48.5,51.55,-9,146,155,22.13,23.5,45.63,26,-6.86,49.86,-95,292,387,44.27,58.67,102.94,56.16,6,25,48,-2.6,46.75,49.34,-32,230,262,34.87,39.72,74.59,71.3,12,42,-2.49,48.09,50.59,-13,24.86,26.83,164,177,30,54.26,32.44,-9.43,50.81,1.82,2.58,12,17,-5,41.38,4.76,7.32,5.22,90.4,93.51,53.77,213,178,31.95,100,127,213,54,36,5,2,28,7,8,1,3,0.3,395.76,2098.12,15.87,16.17,16.5,46.88,50.43,49.35,55.91,53.1,52.19
"steenal8420122013","Alex.Steen","LC","STL",46,20122013,28,"3.567","3.363",11,19,30,0.73,1.27,2,-1,56.39,100.88,7.53,5.62,19.53,54,5.73,55.11,49.38,33,178,145,11.89,9.68,21.57,4.71,54.99,50.28,79,435,356,29.05,23.78,52.83,123,5.41,50.99,205,904,699,60.38,46.68,107.06,53.54,63,25,273,6.16,57.83,51.67,189,698,509,46.62,33.99,80.61,69.34,64,210,5.98,58.17,52.19,136,32.32,23.24,484,348,146,50.21,31.63,12.8,47.73,3.07,2,46,30,16,60.53,5.24,9.5,6.59,91.38,94.11,46.12,99,113,56.53,372,292,286,32,52,10,9,135,15,16,9,8,-0.07,898.38,1914.47,31.94,18.77,17.81,50.73,51.01,51.85,50.37,54.05,51.9
"stemple8320122013","Lee.Stempniak","R","CGY",47,20122013,29,"2.250","2.500",9,23,32,0.63,1.62,2.25,5,48.81,99.91,7.96,-6.36,18.14,61,0.98,51.2,50.21,8,171,163,12.03,11.47,23.5,0.54,49.37,48.82,-10,389,399,27.37,28.08,55.45,118,1.22,47.59,-37,757,794,53.27,55.87,109.13,52.97,53,17,191,-0.44,47.73,48.17,-53,558,611,39.26,42.99,82.26,71.86,25,138,-0.72,47.51,48.23,-42,28.22,31.17,401,443,113,44.21,27.5,3.53,43.78,3.1,3.45,44,49,-5,47.31,6.52,10.97,7.89,88.94,91.98,25.58,3,20,41.54,265,275,373,47,38,14,9,104,24,32,6,11,0.35,852.71,1985.14,30.05,18.72,17.57,48.66,50.5,52,54.86,53.53,52.48
"stepade9020122013","Derek.Stepan","C","NYR",60,20122013,22,"0.875","0.821",22,27,49,1.03,1.26,2.29,1,53.44,102.62,15.71,8.44,21.36,73,5.69,54.53,48.83,46,277,231,12.97,10.82,23.79,5.98,54.62,48.64,108,639,531,29.92,24.86,54.79,164,5.43,48.01,177,1375,1198,64.39,56.1,120.48,52.15,75,36,274,4.49,53.55,49.06,130,980,850,45.89,39.8,85.69,73.16,59,199,5.56,54.65,49.09,122,33.57,27.86,717,595,140,50.33,30,15.39,46.47,3.42,2.11,73,45,28,61.86,11.06,10.18,7.45,92.44,94.71,46.22,566,656,57.94,529,424,384,64,67,19,8,118,27,44,6,7,0.05,1281.34,2400.94,34.8,19.96,17.9,50.68,50.5,56.78,55.24,55.56,54.46
"stewach8720122013","Chris.Stewart","R","STL",54,20122013,24,"3.000","3.000",18,19,37,1.26,1.33,2.6,2,55.46,102.06,15.79,15.5,15.82,52,4.03,54.17,50.13,24,156,132,10.96,9.27,20.23,5.41,55.3,49.89,74,386,312,27.12,21.92,49.04,104,4.56,50.89,163,828,665,58.17,46.72,104.89,53.14,26,15,183,3.32,55.67,52.35,128,628,500,44.12,35.13,79.25,70.06,43,157,1.11,54.39,53.28,71,30.91,25.92,440,369,114,44.51,26.2,11.42,47.67,3.65,2.53,52,36,16,59.09,11.46,11.82,8.28,90.24,92.8,34.04,8,19,63.54,352,248,202,50,55,11,8,96,15,13,5,7,0.14,854.03,2439.3,25.93,18.13,17.37,50.72,50.44,51.77,50.29,53.39,52.45
