Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Jacob Josefson,NJD,62,,6,,5,,11,,0,,24,,55,,30,,289,,297,,0.493,,0,,2,,3,,0,,1,,61,,0.098
Braydon Coburn,TAM,43,,1,,10,,11,,2,,25,,62,,66,,0,,0,,N/A,,0,,0,,0,,0,,0,,46,,0.022
Luca Sbisa,VAN,76,,3,,8,,11,,-8,,46,,151,,128,,0,,0,,N/A,,0,,0,,0,,0,,2,,79,,0.038
Pascal Dupuis,PIT,16,,6,,5,,11,,2,,4,,20,,8,,1,,0,,1,,2,,1,,0,,1,,1,,44,,0.136
Marc Methot,OTT,45,,1,,10,,11,,22,,18,,94,,70,,0,,1,,0,,0,,0,,0,,0,,0,,49,,0.02
Derek MacKenzie,FLA,82,,5,,6,,11,,-17,,45,,273,,51,,543,,479,,0.531,,1,,0,,0,,0,,0,,72,,0.069
Ryan Stanton,WAS,54,,3,,8,,11,,9,,35,,93,,113,,0,,0,,N/A,,0,,0,,0,,0,,0,,59,,0.051
Jyrki Jokipakka,DAL,51,,0,,10,,10,,-2,,8,,42,,66,,0,,0,,N/A,,0,,0,,0,,0,,0,,40,,0
Dainius Zubrus,SAN,74,,4,,6,,10,,-9,,42,,99,,41,,37,,49,,0.43,,0,,1,,0,,1,,1,,72,,0.056
Victor Bartley,NAS,37,,0,,10,,10,,1,,26,,77,,53,,0,,0,,N/A,,0,,0,,0,,0,,0,,28,,0
Olli Jokinen,STL,62,,4,,6,,10,,6,,28,,64,,19,,134,,196,,0.406,,0,,0,,0,,0,,1,,110,,0.036
Seth Griffith,BOS,30,,6,,4,,10,,-2,,6,,14,,13,,3,,6,,0.333,,1,,2,,0,,0,,1,,33,,0.182
Brett Bellemore,NYR,49,,2,,8,,10,,1,,27,,148,,54,,0,,0,,N/A,,0,,0,,0,,0,,1,,26,,0.077
Matt Cooke,MIN,29,,4,,6,,10,,0,,13,,39,,22,,3,,6,,0.333,,0,,0,,0,,0,,0,,24,,0.167
Johnny Oduya,DAL,76,,2,,8,,10,,5,,26,,69,,123,,0,,0,,N/A,,0,,0,,0,,0,,0,,76,,0.026
Ron Hainsey,CAR,81,,2,,8,,10,,-14,,16,,110,,120,,1,,0,,1,,0,,1,,0,,0,,0,,83,,0.024
Rob Scuderi,PIT,82,,1,,9,,10,,9,,17,,41,,110,,0,,0,,N/A,,0,,0,,0,,1,,0,,52,,0.019
Brenden Dillon,SAN,80,,2,,8,,10,,-13,,77,,154,,139,,0,,0,,N/A,,0,,0,,1,,1,,1,,91,,0.022
Emerson Etem,NYR,45,,5,,5,,10,,-6,,4,,63,,20,,2,,2,,0.5,,0,,0,,0,,0,,0,,77,,0.065
Nikita Nikitin,EDM,42,,4,,6,,10,,-12,,12,,21,,49,,0,,0,,N/A,,2,,1,,0,,0,,1,,80,,0.05
Christian Folin,MIN,40,,2,,8,,10,,3,,13,,46,,42,,0,,0,,N/A,,0,,1,,0,,0,,0,,39,,0.051
Viktor Stalberg,NYR,25,,2,,8,,10,,0,,18,,54,,10,,1,,0,,1,,0,,0,,0,,0,,1,,27,,0.074
Joakim Lindstrom,TOR,53,,4,,6,,10,,-15,,12,,14,,5,,7,,16,,0.304,,2,,3,,0,,0,,0,,61,,0.066
Andrew Desjardins,CHI,69,,5,,5,,10,,-1,,57,,128,,35,,158,,154,,0.506,,0,,0,,0,,0,,1,,59,,0.085
Marcel Goc,STL,74,,3,,6,,9,,-3,,8,,87,,35,,372,,313,,0.543,,0,,0,,0,,1,,0,,77,,0.039
Matt Greene,LOS,82,,3,,6,,9,,1,,54,,209,,129,,0,,0,,N/A,,0,,0,,0,,0,,0,,69,,0.043
Jordan Nolan,LOS,60,,6,,3,,9,,-6,,54,,102,,11,,1,,5,,0.167,,0,,0,,0,,0,,1,,44,,0.136
Leon Draisaitl,EDM,37,,2,,7,,9,,-17,,4,,21,,8,,128,,187,,0.406,,1,,1,,0,,0,,1,,49,,0.041
J.T. Brown,TAM,52,,3,,6,,9,,-2,,30,,43,,20,,6,,7,,0.462,,0,,0,,0,,0,,0,,74,,0.041
Tim Gleason,CAR,72,,1,,8,,9,,-13,,55,,167,,108,,0,,0,,N/A,,0,,0,,0,,0,,0,,54,,0.019
Nathan Beaulieu,MON,64,,1,,8,,9,,6,,45,,50,,69,,0,,0,,N/A,,0,,2,,0,,0,,0,,62,,0.016
Teuvo Teravainen,CHI,34,,4,,5,,9,,4,,2,,11,,14,,29,,33,,0.468,,0,,1,,0,,0,,1,,66,,0.061
Adam Pardy,WPG,55,,0,,9,,9,,9,,40,,74,,59,,0,,0,,N/A,,0,,0,,0,,1,,0,,29,,0
Chris Butler,STL,33,,3,,6,,9,,8,,23,,31,,38,,0,,0,,N/A,,0,,0,,1,,0,,0,,54,,0.056
Olli Maatta,PIT,20,,1,,8,,9,,1,,10,,18,,33,,0,,0,,N/A,,0,,2,,0,,0,,0,,27,,0.037
Jamie McBain,LOS,26,,3,,6,,9,,4,,4,,21,,28,,0,,0,,N/A,,1,,2,,0,,0,,0,,18,,0.167
Travis Moen,DAL,44,,3,,6,,9,,0,,18,,62,,24,,0,,4,,0,,0,,0,,0,,0,,0,,34,,0.088
Cody Goloubef,COB,36,,0,,9,,9,,12,,19,,44,,32,,0,,0,,N/A,,0,,0,,0,,1,,0,,23,,0
Brett Ritchie,DAL,31,,6,,3,,9,,-1,,12,,89,,5,,1,,3,,0.25,,0,,1,,0,,0,,1,,78,,0.077
Andre Benoit,STL,59,,1,,8,,9,,-19,,20,,38,,98,,0,,0,,N/A,,0,,1,,1,,0,,0,,45,,0.022
Jay Harrison,WPG,55,,3,,6,,9,,-1,,65,,76,,74,,0,,0,,N/A,,1,,1,,0,,0,,0,,50,,0.06
Joe Vitale,ARI,70,,3,,6,,9,,-11,,36,,104,,65,,354,,379,,0.483,,0,,0,,0,,0,,0,,55,,0.055
Roman Polak,TOR,56,,5,,4,,9,,-22,,48,,225,,128,,1,,0,,1,,0,,0,,0,,0,,1,,61,,0.082
Rob Klinkhammer,EDM,69,,5,,4,,9,,-4,,27,,236,,12,,10,,27,,0.27,,0,,0,,0,,0,,0,,64,,0.078
Jared Cowen,OTT,54,,3,,6,,9,,-11,,45,,159,,76,,0,,0,,N/A,,0,,0,,0,,0,,1,,47,,0.064
Clayton Stoner,ANA,69,,1,,7,,8,,-2,,68,,128,,84,,0,,0,,N/A,,0,,0,,0,,0,,1,,68,,0.015
Carlo Colaiacovo,BUF,33,,2,,6,,8,,0,,10,,46,,33,,0,,0,,N/A,,0,,2,,0,,0,,0,,42,,0.048
Jamie Oleksiak,DAL,36,,1,,7,,8,,0,,8,,82,,46,,0,,0,,N/A,,0,,0,,0,,0,,0,,36,,0.028
Corey Tropp,CHI,61,,1,,7,,8,,-14,,76,,80,,28,,1,,1,,0.5,,0,,0,,0,,0,,0,,22,,0.045
Jack Skille,COL,45,,6,,2,,8,,-18,,16,,96,,15,,3,,5,,0.375,,0,,0,,0,,0,,0,,95,,0.063
Ben Chiarot,WPG,40,,2,,6,,8,,5,,22,,70,,51,,0,,0,,N/A,,0,,0,,0,,0,,0,,37,,0.054
Robert Bortuzzo,STL,51,,3,,5,,8,,-9,,93,,157,,61,,1,,0,,1,,0,,0,,0,,0,,0,,56,,0.054
Dalton Prout,COB,63,,0,,8,,8,,-14,,85,,166,,84,,0,,0,,N/A,,0,,0,,0,,0,,0,,64,,0
Matt Halischuk,WPG,47,,3,,5,,8,,5,,6,,55,,24,,1,,0,,1,,0,,0,,0,,0,,1,,59,,0.051
Jordan Schroeder,MIN,25,,3,,5,,8,,9,,2,,24,,6,,0,,0,,N/A,,0,,0,,0,,0,,0,,48,,0.063
