Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Sidney Crosby,PIT,27,,6,,13,,19,,-7,,8,,29,,14,,324,,281,,0.536,,3,,5,,0,,0,,1,,75,,0.08
Corey Perry,ANA,28,,10,,9,,19,,-2,,23,,46,,18,,1,,4,,0.2,,5,,4,,0,,0,,2,,72,,0.139
Jason Spezza,DAL,28,,11,,8,,19,,2,,10,,5,,6,,197,,155,,0.56,,1,,6,,0,,0,,3,,91,,0.121
Gustav Nyquist,DET,28,,10,,9,,19,,1,,12,,32,,10,,0,,0,,N/A,,4,,3,,0,,0,,2,,66,,0.152
Brendan Gallagher,MON,22,,9,,10,,19,,7,,14,,17,,12,,5,,4,,0.556,,4,,1,,0,,0,,0,,70,,0.129
Sean Monahan,CGY,27,,8,,11,,19,,-5,,2,,13,,12,,298,,324,,0.479,,2,,1,,0,,0,,1,,62,,0.129
Mathieu Perreault,WPG,28,,3,,16,,19,,0,,16,,32,,12,,16,,24,,0.4,,3,,4,,0,,0,,0,,36,,0.083
Victor Rask,CAR,28,,8,,11,,19,,0,,16,,8,,11,,203,,166,,0.55,,1,,8,,0,,0,,1,,58,,0.138
Carl Soderberg,COL,29,,4,,14,,18,,-7,,10,,11,,25,,105,,129,,0.449,,1,,5,,0,,0,,0,,63,,0.063
Artem Anisimov,CHI,28,,11,,7,,18,,6,,4,,16,,15,,186,,229,,0.448,,2,,1,,2,,0,,1,,42,,0.262
Justin Williams,WAS,26,,8,,10,,18,,8,,2,,13,,12,,17,,8,,0.68,,2,,3,,0,,1,,1,,68,,0.118
Andrew Ladd,WPG,28,,8,,10,,18,,-5,,17,,57,,9,,4,,1,,0.8,,3,,1,,0,,0,,1,,71,,0.113
Jussi Jokinen,FLA,28,,6,,12,,18,,1,,20,,19,,22,,46,,48,,0.489,,1,,3,,0,,0,,0,,54,,0.111
Rick Nash,NYR,27,,8,,10,,18,,6,,18,,38,,10,,0,,1,,0,,2,,2,,0,,0,,2,,79,,0.101
Filip Forsberg,NAS,28,,5,,13,,18,,-3,,20,,45,,16,,1,,3,,0.25,,0,,8,,0,,0,,1,,81,,0.062
Ryan Getzlaf,ANA,24,,1,,17,,18,,3,,18,,43,,12,,204,,187,,0.522,,0,,6,,0,,0,,0,,51,,0.02
Milan Lucic,LOS,27,,10,,8,,18,,10,,22,,97,,6,,6,,4,,0.6,,1,,3,,0,,0,,3,,43,,0.233
James Neal,NAS,28,,10,,8,,18,,3,,39,,47,,9,,3,,10,,0.231,,3,,4,,0,,0,,0,,89,,0.112
Mika Zibanejad,OTT,27,,4,,13,,17,,-2,,8,,33,,18,,222,,228,,0.493,,0,,4,,2,,0,,2,,54,,0.074
Eric Staal,CAR,28,,5,,12,,17,,3,,16,,35,,9,,109,,76,,0.589,,1,,4,,0,,0,,0,,67,,0.075
Mark Scheifele,WPG,28,,10,,7,,17,,7,,8,,27,,12,,173,,211,,0.451,,1,,2,,0,,0,,1,,77,,0.13
James van Riemsdyk,TOR,28,,8,,9,,17,,-2,,4,,45,,4,,1,,1,,0.5,,4,,3,,0,,0,,0,,83,,0.096
Brandon Saad,COB,28,,9,,8,,17,,0,,10,,15,,7,,9,,8,,0.529,,5,,1,,0,,0,,2,,73,,0.123
Jiri Hudler,CGY,25,,5,,12,,17,,-8,,11,,5,,1,,3,,10,,0.231,,1,,3,,0,,0,,0,,43,,0.116
Phil Kessel,PIT,27,,9,,8,,17,,-1,,4,,4,,5,,0,,0,,N/A,,2,,3,,0,,0,,3,,86,,0.105
David Desharnais,MON,29,,7,,10,,17,,2,,6,,14,,11,,152,,183,,0.454,,3,,1,,0,,0,,3,,37,,0.189
